a,b,c
48,0.264338446,-0.123079628
49,-0.02614822,0.073006649
50,-0.166666667,0.272598466
51,-0.418777083,0.352147746
52,0.15109228,-0.161912776
53,0.348968032,-0.350513192
54,0.477714155,-0.58845875
55,0.664488591,-0.667378637
56,-0.159709939,0.280953949
57,-0.35596112,0.350649958
58,-0.066666667,0.197017833
59,-0.41132375,0.249777849
60,-0.597600226,0.508579034
61,0.17792299,-0.195298733
62,0.472291186,-0.35357718
63,0.619541038,-0.621400339
64,0.766790889,-0.788067005
65,-0.207154359,0.337452681
66,-0.540597709,0.29942738
67,-0.557133446,0.556446169
68,-0.742002083,0.585999594
69,0.253195318,-0.296173976
70,0.31557559,-0.481908863
71,0.425625826,-0.558058637
72,0.614667814,-0.684724054
73,0.173696667,-0.229621074
74,-0.09342,0.001663278
75,-0.259614167,0.167349722
76,-0.373800113,0.47900498
77,-0.58373053,0.612907987
78,0.24795024,-0.158698204
79,0.417332358,-0.355000304
80,0.625052269,-0.419066441
81,0.604974352,-0.655867274
82,-0.210012917,0.319469317
83,0.123082309,0.014318651
84,-0.184203828,0.141946765
85,-0.307131024,0.352494426
86,-0.135733107,0.02100037
87,-0.269066441,0.401254073
88,0.267583233,-0.142866554
89,-0.008625618,0.1
90,-0.035359514,-0.316666667
91,-0.097744712,0.061325433
92,0.288109258,-0.185394983
93,0.446567894,-0.35357718
94,-0.119371424,0.196904524
95,-0.399993091,0.232330003
96,-0.094398204,0.082330483
97,-0.31030487,0.41761962
98,-0.520243846,0.550667873
99,0.1302044,-0.30660093
100,0.449975963,-0.409281346
101,0.515544238,-0.574559167
102,0.73237723,-0.709116667
103,-0.276876233,0.154926268
104,0.04070125,0.002819908
105,-0.170882274,0.186018815
106,-0.348744357,0.316505997
107,-0.456362995,0.549438773
108,0.178413878,-0.222180372
109,0.087734133,0.125657847
110,-0.091900563,0.262204906
111,-0.436218958,0.283333333
112,0.02716846,0.126199887
113,-0.3131104,0.472291186
114,-0.574386346,0.511485384
115,-0.181051704,0.242229487
116,0.029452906,0.125476667
117,-0.435339252,0.372794546
118,-0.54046678,0.617170811
119,-0.208422917,0.364966226
120,-0.35268072,0.456921923
121,-0.572094357,0.339542185
122,-0.321379426,0.054996236
123,-0.077330372,0.130044735
124,-0.355704539,0.399697043
125,-0.140227734,0.298272726
126,0.167643731,0.121400339
127,0.314893583,-0.126199887
128,0.388674852,-0.423760833
129,0.311185126,-0.69357928
130,0.269998491,-0.193187789
131,0.407909393,-0.39001079
132,0.207133446,-0.026270694
133,-0.166666667,-0.098555752
134,-0.24046678,0.305096338
135,-0.444182387,0.272249609
136,0.166402993,-0.105976954
137,-0.071654706,0.097297258
138,0.305096338,-0.128512872
139,0.378578582,-0.332990789
140,0.555572835,-0.54378125
141,-0.219605177,0.089486522
142,-0.360532691,0.248870719
143,-0.13670016,-0.048981223
144,-0.285936396,0.410051072
145,-0.421379426,0.551522628
146,0.346188894,-0.166666667
147,0.493438745,-0.414266893
148,0.53757087,-0.644124809
149,0.648862152,-0.818066476
150,0.210730028,-0.177862257
151,-0.132069139,-0.11970331
152,-0.166666667,0.268022732
153,-0.373800113,0.467715452
154,-0.250503976,0.123196433
155,-0.03588178,-0.096576212
156,-0.175002387,0.165531267
157,-0.333333333,0.431198631
158,-0.169497026,0.16628907
159,-0.327890283,0.372661267
160,-0.504108838,0.56384678
161,-0.355300861,0.272092613
162,-0.245987147,0.05430803
163,0.116753931,0.064266893
164,-0.191525831,0.284545242
165,0.047670391,0.000505963
166,0.207478256,-0.158514454
167,0.282246143,-0.356589774
168,0.116666667,-0.342246684
169,-0.0422925,0.13775996
170,-0.182299887,0.257229203
171,-0.346146554,0.395595398
172,-0.141753733,0.110971294
173,0.030045045,-0.12722081
174,-0.278512872,-0.049552848
175,-0.457942373,0.090075166
176,0.22233878,-0.046315033
177,0.275312846,-0.314335591
178,0.438593945,-0.509520191
179,0.552792666,-0.699606137
180,-0.187512387,0.206112208
181,-0.432460304,0.221947322
182,-0.093628637,0.116704784
183,-0.333333333,0.390106075
184,-0.666666667,0.262178167
185,0.196297805,-0.174939454
186,0.454960276,-0.373800113
187,0.114614499,-0.199495946
188,0.446567894,-0.373800113
189,0.442998901,-0.51179322
190,0.1368896,-0.303483614
191,-0.00192835,0.09262428
192,-0.209613215,0.221756667
193,0.066666667,-0.017983364
194,-0.221620833,0.209503597
195,0.147492457,-0.057133446
196,-0.321466979,0.116666667
197,-0.44122303,0.353569078
198,-0.515721137,0.531563226
199,-0.057841277,0.434489826
200,-0.036644569,0.171520226
201,-0.295179539,0.472291186
1,0.214432917,-0.274556261
2,0.022465169,0.008685283
3,-0.267981554,0.021867957
4,-0.35285697,0.410051072
5,-0.557133446,0.572670186
6,0.10329116,-0.152892145
7,0.326221725,-0.281410061
8,0.551522628,-0.45953322
9,0.420470642,-0.772266667
10,-0.189129983,0.268585457
11,-0.4631104,0.209499773
12,-0.066666667,0.167134062
13,0.02101322,-0.033413414
14,-0.253138446,0.093060434
15,-0.004641639,-0.138334499
16,-0.211162055,0.196997577
17,-0.491569972,0.138160469
18,0.28394878,-0.189202585
19,0.410051072,-0.373800113
20,0.487966301,-0.59425678
21,0.184158209,-0.35693468
22,0.30290831,-0.607494037
23,-0.218150417,0.227930557
24,-0.373800113,0.430343876
25,-0.58911178,0.524517065
26,-0.747600226,0.744788576
27,-0.20801024,0.348704842
28,-0.009468447,0.029677742
29,-0.242356995,0.210702196
30,-0.429959847,0.303556267
31,-0.189620379,0.04204585
32,0.177173927,-0.020243846
33,0.054898457,-0.316666667
34,-0.041832487,0.0355675
35,0.234059225,-0.166666667
36,-0.087884411,0.00178697
37,-0.22120433,0.146204887
38,-0.437217452,0.379037613
39,0.1,-0.304479899
40,-0.075736667,0.077421307
41,-0.166666667,0.293746024
42,-0.412908863,0.472291186
43,-0.580933559,0.619541038
44,-0.350165821,0.221550659
45,0.126551176,0.060689713
46,-0.139912612,0.259617196
47,-0.255395209,0.414441363
48,-0.060687194,0.202007726
49,-0.313431815,0.474915687
50,-0.247600226,0.386113784
51,-0.454733672,0.526730585
52,-0.619434809,0.612907987
53,-0.764452196,0.635746114
54,0.223715506,-0.127969357
55,0.328911571,-0.250134245
56,0.436543645,-0.472955078
57,0.206432821,-0.222087691
58,0.042417927,-0.10874362
59,0.171276875,-0.37251737
60,-0.183333333,0.32418658
61,-0.412367917,0.353480578
62,-0.573800113,0.567654953
63,-0.764266893,0.730274067
64,0.279373045,-0.1262208
65,0.325900119,-0.38953165
66,0.598393479,-0.5
67,0.622250796,-0.682980304
68,0.049094357,-0.296845532
69,-0.0388875,0.111040384
70,0.266168976,-0.230109568
71,0.104733672,0.13112691
72,-0.142866554,0.278376761
73,-0.39644697,0.284823951
74,-0.238113224,0.20937763
75,0.136905206,-0.04046678
76,-0.23849866,0.14602407
77,-0.279731399,0.36600742
78,-0.630133383,0.530912646
79,0.173079181,-0.170549441
80,0.001264195,0.13790149
81,-0.287433835,0.193553611
82,-0.414266893,0.512216077
83,-0.585145417,0.499340656
84,-0.248778225,0.278599409
85,0.019768982,0.015754809
86,0.187450632,-0.213344054
87,0.311642909,-0.4408175
88,0.475131468,-0.555771667
89,-0.186910513,0.330819631
90,-0.468427083,0.250378806
91,-0.260228013,-0.050910298
92,-0.373239567,0.325957516
93,-0.12819915,0.026971768
94,-0.39046678,0.382476741
95,-0.196593362,0.248559713
96,0.022897766,0.034961492
97,0.166873452,-0.097777578
98,0.34241765,-0.327077274
99,0.288840958,-0.593223941
100,-0.267757055,0.097170482
101,-0.373800113,0.465345226
102,-0.55626125,0.500234751
103,-0.711902917,0.66592803
104,0.305096338,-0.128512872
105,-0.046566516,0.05425428
106,0.176012802,-0.256075833
107,-0.101978036,0.036356796
108,0.216486203,-0.2122729
109,0.439080089,-0.3558829
110,-0.1262208,0.346188894
111,-0.4259779,0.283890699
112,-0.61299553,0.522094891
113,-0.707987917,0.647243614
114,-0.159113961,0.240489211
115,-0.150441836,-0.166666667
116,-0.40175347,0.15142053
117,-0.552252578,0.330841476
118,-0.11661045,0.169052726
119,-0.411461029,0.364266893
120,0.178267097,-0.237839854
121,-0.081451667,0.009647528
122,-0.231817083,0.175692916
123,-0.4315325,0.306776484
124,-0.626199887,0.303245722
125,-0.24439102,0.299841521
126,-0.345187557,0.485473576
127,-0.285275103,0.117823159
128,-0.415918101,0.354395546
129,-0.508521554,0.53131875
130,-0.25263072,0.075618705
131,-0.476199887,0.088097087
132,-0.599679887,0.309088107
133,-0.231307804,0.274146112
134,-0.537562691,0.33383327
1,0.278933546,-0.095266328
2,0.405035839,-0.261932995
3,0.456052276,-0.503658524
4,0.62087407,-0.684727804
5,-0.288067005,0.278933546
6,-0.457686003,0.351101281
7,-0.596339167,0.44888892
8,-0.73013822,0.582043177
9,0.189272323,-0.168113637
10,0.409054788,-0.292866554
11,0.457789716,-0.489073107
12,0.498926383,-0.714648524
13,0.311523587,-0.161365247
14,0.451264195,-0.25983392
15,0.10129178,-0.212517615
16,-0.035817387,0.01008896
17,0.227947309,-0.234182968
18,-0.099383107,-0.18426799
19,-0.144039774,0.169300732
20,0.107359826,-0.072878301
21,-0.146443733,0.305096338
22,-0.445967596,0.269375004
23,0.257229203,-0.025043395
24,0.32573427,-0.259062995
25,0.389724235,-0.549095607
26,0.625449753,-0.695149054
27,0.220009932,-0.089727001
28,0.033433074,0.132123194
29,0.2868896,-0.080990788
30,0.344777083,-0.356437641
31,0.025501137,-0.137072992
32,-0.04744447,-0.028679445
33,-0.126199887,0.306031836
34,0.09200178,-0.025399779
35,-0.245581667,0.163996435
36,-0.383245833,0.330939366
37,0.213714531,-0.1804983
38,0.011097172,0.094986728
39,0.320465601,-0.168979652
40,-0.042857008,0.033160765
41,0.234176214,-0.246984696
42,-0.080976855,0.078931391
43,-0.153705457,0.264719308
44,-0.530444059,0.350329724
45,0.229970113,-0.133617473
46,-0.029487387,0.077815109
47,0.261087196,-0.19140599
48,-0.12378375,-0.011215629
49,-0.275997917,0.130068371
50,0.052915,-0.037725919
51,-0.224911667,0.191486271
52,-0.341196554,0.319137082
53,-0.183122375,0.264094645
54,-0.303639608,0.429378378
55,-0.552667318,0.555523074
56,-0.489039908,0.888046092
57,-0.188168107,0.185658766
58,0.181474089,0.104268167
59,0.338154505,-0.143575157
60,0.081031589,0.105403617
61,-0.198034357,0.04607649
62,-0.333333333,0.445713139
63,0.153230748,-0.126865878
64,0.265958323,-0.319921008
65,0.53529861,-0.514236137
66,0.584298225,-0.666489887
67,0.178687387,-0.167863727
68,0.339135737,-0.364374271
69,0.579756154,-0.438379082
70,0.313089487,-0.226321103
71,0.51176625,-0.500475884
72,0.330819631,-0.165402472
73,0.472291186,-0.30953322
74,0.619541038,-0.54046678
75,0.370906518,-0.2131104
76,0.593817745,-0.560710626
77,-0.146443733,0.334980109
78,0.079756154,0.04425675
79,-0.365091476,0.07495945
80,-0.380620833,0.304763411
81,-0.5,0.584814468
82,-0.063007424,0.243385028
83,-0.321596734,0.371085445
84,-0.514996055,0.609664809
85,-0.236499489,0.319638863
86,-0.043537779,0.162658446
87,0.103613216,-0.0636825
88,-0.136016223,0.206494167
89,-0.039048276,-0.1190625
90,-0.252283683,0.184961667
91,-0.060904144,-0.1586925
92,0.264797751,-0.166666667
93,-0.180431273,0.00414678
94,-0.212010901,0.254937726
95,-0.033373541,-0.08646697
96,-0.154605073,0.32735638
97,-0.298391212,0.407097517
98,-0.223800113,0.360703402
99,-0.43100053,0.472291186
100,-0.103848733,0.145108809
101,0.119652646,-0.029917229
102,0.347579313,-0.205334943
103,0.422132326,-0.515148515
104,0.242856224,-0.119066441
105,0.319412762,-0.35295822
106,0.576391166,-0.5
107,0.641947566,-0.763040113
108,-0.070620895,0.140565085
109,-0.252399774,0.367962233
110,-0.563173637,0.407095806
111,-0.642866554,0.646886395
112,0.154293369,-0.255582917
113,0.291734193,-0.336887274
114,0.438255748,-0.469833941
115,0.676770166,-0.602399774
116,-0.166666667,0.278376761
117,-0.41963697,0.240540423
118,-0.605680417,0.445013401
119,-0.25,0.275313777
120,-0.579145417,0.410229429
121,-0.027639957,-0.252399774
122,0.281464717,-0.281054661
123,0.003871202,-0.082857663
124,0.269804918,-0.402936109
125,0.447807984,-0.504561109
126,0.300099741,-0.153980228
127,0.507037422,-0.291527106
128,0.207133446,0.000448883
129,-0.00988072,0.089633255
130,0.216049167,-0.118163188
131,0.369820643,-0.435436742
132,0.155418738,-0.232248941
133,0.30074286,-0.308129661
134,0.540313844,-0.419066441
135,0.338550175,-0.132176841
136,0.551522628,-0.438878508
137,-0.178452387,0.208426408
138,-0.333333333,0.461082402
139,-0.54046678,0.597538724
140,-0.769762196,0.618786706
141,-0.154763034,0.335395271
142,-0.342321689,0.440790158
143,-0.082092247,0.165834696
144,-0.139549288,-0.071170191
145,0.033187187,-0.262223107
146,-0.168102727,0.02711553
147,0.264003782,-0.207133446
148,0.431198631,-0.372850833
149,-0.146443733,0.278933546
150,-0.382090833,0.353053733
151,-0.119361667,0.089306302
152,-0.292866554,0.367962233
153,-0.60515,0.378352954
154,0.115724172,-0.206920273
155,0.304987265,-0.341518077
156,0.015806137,-0.09452766
157,0.276756768,-0.341824842
158,0.057369534,-0.066674009
159,-0.096147044,-0.001227055
160,0.00271851,-0.308632055
161,-0.290504265,-0.032069139
162,0.048125363,-0.266367917
163,-0.186475329,0.03725928
164,0.089942603,-0.259842387
165,0.332224371,-0.252399774
166,0.27802138,-0.172951718
167,0.04046678,0.12077288
168,-0.171788107,0.18865424
169,-0.252399774,0.451143628
170,-0.026199887,0.223656667
171,0.08669928,-0.025937186
172,0.24707585,-0.173698724
173,-0.071213846,0.031548273
174,0.15249657,-0.178827783
175,0.304504774,-0.252614481
176,-0.16157436,0.295992726
177,-0.396194368,0.416574826
178,-0.214643163,0.11933388
179,-0.309235945,0.374262517
180,-0.038682876,0.0772275
181,-0.079456948,-0.163006667
182,-0.225123027,0.20342928
183,-0.438258017,0.383005113
184,-0.223800113,0.27359475
185,-0.456949393,0.377335033
186,-0.580933559,0.63168532
187,-0.791662726,0.672848588
188,-0.306255374,0.235745174
189,0.147492457,0.078620574
190,0.28394878,-0.154829023
191,0.420405102,-0.252399774
192,0.085278326,-0.087688637
193,0.286068066,-0.358394054
194,-0.221650833,0.25525423
195,0.037468992,-0.152167783
196,-0.175108811,0.074315308
197,-0.252690478,0.38432778
198,-0.107137274,0.038527719
199,-0.355030304,0.366601629
200,-0.161165712,0.253416283
201,-0.290300677,0.42708795
202,-0.190326098,0.0491671
203,0.105403617,0.023800113
204,-0.283375207,0.224789809
205,-0.065514492,-0.050931024
206,0.216136647,-0.102399774
207,0.410051072,-0.306802691
208,0.208920417,-0.154041443
209,-0.10547303,0.072198966
210,-0.247600226,0.327037865
211,-0.530419393,0.322599265
212,-0.60180875,0.354316741
213,0.346188894,-0.105976954
214,-0.005335687,0.06122928
215,0.196260232,-0.236551667
216,0.398842288,-0.290758524
217,0.45464573,-0.511115607
218,-0.233971137,0.079421108
219,-0.333011441,0.292996615
220,-0.093821554,0.066606998
221,-0.43193697,0.168494452
222,-0.107133446,0.114691192
223,-0.436361363,0.24883398
224,0.325041335,-0.124935692
225,0.082185111,0.138153795
226,0.268579517,-0.227377293
227,0.329378412,-0.40888968
228,0.214859668,-0.146515946
229,0.35057655,-0.333333333
230,0.088601582,-0.250792602
231,-0.098777168,0.022427814
232,0.284597528,-0.110935346
233,0.376543333,-0.320639186
234,0.114107726,-0.275291608
235,0,0.160697771
236,0.213372196,-0.188237326
237,-0.02954947,0.061277254
238,-0.187380078,0.093695764
239,-0.294276024,0.372390413
240,0.102817749,-0.221788204
241,0.264606708,-0.39944322
242,0.172210081,-0.093581554
243,0.325932741,-0.4329725
244,0.364115875,-0.60975875
245,0.285591813,-0.206494969
246,-0.094756346,0.012520778
247,-0.210736667,0.201744894
248,0.044945433,-0.034501637
249,-0.238392674,0.003252665
250,0.083408896,-0.103145875
251,-0.065510174,0.267614153
252,0.093781396,-0.032463442
253,0.20676763,-0.25802017
254,-0.020243846,0.090034354
255,-0.358938333,-0.032795116
256,-0.48632053,0.259756191
257,-0.215064605,0.294834741
258,0.111181913,0.038153795
259,0.278376761,-0.207466667
260,0.472291186,-0.414735113
261,0.500639396,-0.516666667
262,-0.163887387,0.23150591
263,0.0529525,-0.072733347
264,-0.166666667,0.263007498
265,-0.01334,-0.162426933
266,0.21475888,-0.238829315
267,0.060689713,0.126551176
268,-0.22141915,0.233443279
269,-0.4664225,0.332646222
270,-0.316259139,0.198557241
271,-0.325921213,0.444573908
272,-0.190352075,0.141677726
273,0.130161546,0
274,0.221778649,-0.199178637
275,-0.074197074,0.01352125
276,0.145449417,-0.206948637
277,0.11422181,-0.489292083
278,-0.088046092,0.299318042
279,0.094460141,-0.060165794
280,-0.207133446,0.278376761
281,-0.444393863,0.308561267
282,-0.5,0.601801549
283,0.27359475,-0.189202585
284,0.15694234,-0.519840113
285,0.536153365,-0.516666667
286,0.57965601,-0.697162804
287,-0.085251813,0.282952495
288,-0.2236017,0.375140064
289,-0.45953322,0.612907987
290,-0.838255417,0.436269376
291,0.150400327,-0.200552771
292,-0.125259864,0.019591683
293,-0.252767295,0.187306711
294,0.12077288,-0.002312985
295,0.244264942,-0.256448931
296,0.391094635,-0.492662309
297,0.213874932,-0.179986399
298,0.297879054,-0.393514082
299,0.085733107,0.015818146
300,0.311932995,-0.207947836
